identity_id,node_id,auth_type,auth_strength,login_from_zones,typical,use_mfa
ID_01176,N00190,password,low,"MGMT,PARTNER_VPN,SERVER_LAN",yes,False
ID_00796,N01118,password,low,"USER_LAN,PARTNER_VPN",yes,False
ID_00196,N00405,oauth,medium,"PARTNER_VPN,USER_LAN,EXTERNAL",no,False
ID_01784,N01813,password,medium,"SERVER_LAN,DMZ,PARTNER_VPN",no,False
ID_00840,N01925,password,low,"MGMT,SERVER_LAN",yes,False
ID_01793,N00050,kerberos,high,"EXTERNAL,SERVER_LAN,DMZ",yes,False
ID_00692,N00065,password,low,"USER_LAN,SERVER_LAN",no,False
ID_01902,N01403,kerberos,high,"EXTERNAL,SERVER_LAN",yes,False
ID_01726,N00477,password,medium,"PARTNER_VPN,CLOUD,DMZ",no,False
ID_00661,N01554,saml,high,PARTNER_VPN,yes,False
ID_00477,N00769,password,low,"PARTNER_VPN,CLOUD",yes,False
ID_00376,N00008,password,low,"SERVER_LAN,MGMT,CLOUD",yes,False
ID_00258,N01017,password,low,SERVER_LAN,yes,False
ID_01492,N00900,kerberos,medium,SERVER_LAN,yes,False
ID_00437,N01469,password,medium,EXTERNAL,yes,False
ID_01466,N00767,saml,high,"CLOUD,OT",yes,False
ID_01981,N00118,saml,high,"CLOUD,EXTERNAL,DMZ",yes,False
ID_00440,N01322,api_key,medium,"PARTNER_VPN,OT,USER_LAN",yes,False
ID_01763,N01039,kerberos,medium,"OT,DMZ,MGMT",yes,True
ID_00314,N01252,password,medium,"USER_LAN,SERVER_LAN",yes,False
ID_00669,N00420,oauth,high,"SERVER_LAN,PARTNER_VPN,OT",yes,True
ID_01897,N00147,kerberos,medium,"USER_LAN,EXTERNAL",no,True
ID_01138,N00337,kerberos,high,"DMZ,MGMT",yes,False
ID_01469,N01597,password,low,CLOUD,yes,True
ID_01192,N01794,kerberos,medium,"EXTERNAL,MGMT",yes,False
ID_00049,N00801,password,medium,"PARTNER_VPN,USER_LAN,DMZ",yes,False
ID_01188,N01276,kerberos,high,"MGMT,CLOUD,USER_LAN",yes,False
ID_00495,N01752,kerberos,high,"DMZ,SERVER_LAN,MGMT",yes,True
ID_01475,N00424,password,low,"MGMT,PARTNER_VPN,DMZ",yes,False
ID_01403,N00423,kerberos,high,MGMT,yes,True
ID_00151,N01904,password,low,"PARTNER_VPN,EXTERNAL,DMZ",no,True
