account_id,provider,tenant_id,account_type,owner_identity,criticality
CA00000,GCP,gcp-52842,admin_account,ID_00443,4
CA00001,DigitalOcean,do-24861,admin_account,ID_00448,5
CA00002,Azure,az-44724,automation_account,ID_00272,4
CA00003,Azure,az-91612,human_user,ID_00560,3
CA00004,Oracle,oci-39282,billing_account,ID_00810,5
CA00005,Oracle,oci-56928,read_only_account,ID_00184,2
CA00006,Oracle,oci-71665,admin_account,ID_01337,4
CA00007,AWS,aws-63286,service_account,ID_01624,4
CA00008,DigitalOcean,do-42871,billing_account,ID_01959,4
CA00009,AWS,aws-56370,read_only_account,ID_00322,3
CA00010,DigitalOcean,do-30485,service_account,ID_00769,3
CA00011,AWS,aws-33560,service_account,ID_00636,3
CA00012,Oracle,oci-46521,service_account,ID_01721,3
CA00013,GCP,gcp-76167,automation_account,ID_00129,4
CA00014,AWS,aws-97453,read_only_account,ID_00362,3
CA00015,GCP,gcp-18401,human_user,ID_01555,2
CA00016,GCP,gcp-11582,admin_account,ID_01343,4
CA00017,Oracle,oci-70902,billing_account,ID_01607,4
CA00018,Azure,az-29066,service_account,ID_01876,4
CA00019,DigitalOcean,do-13093,billing_account,ID_01701,4
CA00020,AWS,aws-97955,automation_account,ID_01368,4
CA00021,AWS,aws-37622,human_user,ID_01853,2
CA00022,AWS,aws-91002,human_user,ID_01611,1
CA00023,Azure,az-71961,human_user,ID_01663,2
CA00024,DigitalOcean,do-60010,read_only_account,ID_00018,1
CA00025,Oracle,oci-83453,admin_account,ID_00443,4
CA00026,Azure,az-49320,automation_account,ID_00399,4
CA00027,AWS,aws-24493,human_user,ID_01436,1
CA00028,DigitalOcean,do-22805,service_account,ID_00480,3
CA00029,Azure,az-69865,read_only_account,ID_00809,3
CA00030,Azure,az-49264,automation_account,ID_01171,3
CA00031,AWS,aws-39721,automation_account,ID_00679,3
CA00032,Azure,az-15612,automation_account,ID_00902,4
CA00033,DigitalOcean,do-77117,automation_account,ID_01826,4
CA00034,Oracle,oci-41488,automation_account,ID_00299,3
CA00035,DigitalOcean,do-59388,service_account,ID_01214,4
CA00036,Oracle,oci-27909,read_only_account,ID_00399,1
CA00037,Oracle,oci-62141,human_user,ID_01333,3
CA00038,Oracle,oci-57875,read_only_account,ID_00266,1
CA00039,DigitalOcean,do-97296,admin_account,ID_01969,5
CA00040,DigitalOcean,do-26063,read_only_account,ID_01447,2
CA00041,GCP,gcp-55574,read_only_account,ID_01350,3
CA00042,GCP,gcp-68307,read_only_account,ID_01330,3
CA00043,Oracle,oci-38394,admin_account,ID_00195,4
CA00044,Oracle,oci-93912,automation_account,ID_01793,4
CA00045,GCP,gcp-54625,admin_account,ID_01237,4
CA00046,AWS,aws-50122,service_account,ID_00652,4
CA00047,GCP,gcp-52496,admin_account,ID_00635,4
CA00048,Oracle,oci-91493,automation_account,ID_01767,4
CA00049,Oracle,oci-82086,human_user,ID_01353,1
CA00050,Oracle,oci-46582,automation_account,ID_01133,3
CA00051,AWS,aws-30823,billing_account,ID_00589,4
CA00052,Azure,az-83704,admin_account,ID_01473,4
CA00053,DigitalOcean,do-91909,automation_account,ID_01158,4
CA00054,DigitalOcean,do-10755,billing_account,ID_00064,4
CA00055,Oracle,oci-16969,automation_account,ID_01527,3
CA00056,AWS,aws-36609,service_account,ID_01524,4
CA00057,Azure,az-71711,admin_account,ID_01030,4
CA00058,AWS,aws-92966,billing_account,ID_00669,5
CA00059,GCP,gcp-70346,admin_account,ID_00085,5
CA00060,GCP,gcp-95543,billing_account,ID_01279,5
CA00061,GCP,gcp-97767,admin_account,ID_01555,5
CA00062,GCP,gcp-91961,service_account,ID_01929,4
CA00063,AWS,aws-41760,automation_account,ID_00348,4
CA00064,DigitalOcean,do-57469,automation_account,ID_01112,3
CA00065,Azure,az-90315,automation_account,ID_00517,4
CA00066,GCP,gcp-65104,human_user,ID_01843,2
CA00067,Oracle,oci-71778,human_user,ID_00371,2
CA00068,Oracle,oci-99481,automation_account,ID_00893,3
CA00069,Oracle,oci-82327,service_account,ID_00002,4
CA00070,GCP,gcp-98124,admin_account,ID_00439,5
CA00071,AWS,aws-65908,service_account,ID_01693,4
CA00072,Azure,az-28560,human_user,ID_00174,3
CA00073,Oracle,oci-30630,billing_account,ID_00722,5
CA00074,DigitalOcean,do-22076,automation_account,ID_00101,3
CA00075,Oracle,oci-22589,human_user,ID_00388,3
CA00076,Oracle,oci-24984,human_user,ID_00289,3
CA00077,GCP,gcp-34105,admin_account,ID_00179,4
CA00078,Oracle,oci-26933,service_account,ID_00459,3
CA00079,Azure,az-80518,human_user,ID_01705,2
CA00080,AWS,aws-37826,billing_account,ID_00961,5
CA00081,Oracle,oci-72906,human_user,ID_00796,2
CA00082,Oracle,oci-56427,automation_account,ID_01427,3
CA00083,AWS,aws-73001,admin_account,ID_00641,4
CA00084,GCP,gcp-65959,read_only_account,ID_01099,2
CA00085,Oracle,oci-96975,read_only_account,ID_00634,3
CA00086,GCP,gcp-33672,service_account,ID_00131,4
CA00087,GCP,gcp-39533,billing_account,ID_01454,5
CA00088,DigitalOcean,do-48567,human_user,ID_00944,1
CA00089,Oracle,oci-48914,automation_account,ID_00082,3
CA00090,Oracle,oci-15759,admin_account,ID_00109,4
CA00091,Oracle,oci-99634,automation_account,ID_01015,4
CA00092,AWS,aws-67424,automation_account,ID_01173,3
CA00093,AWS,aws-62388,admin_account,ID_01500,5
CA00094,GCP,gcp-98664,admin_account,ID_00558,5
CA00095,GCP,gcp-97882,human_user,ID_00324,3
CA00096,DigitalOcean,do-62167,admin_account,ID_01855,4
CA00097,GCP,gcp-27454,automation_account,ID_00766,3
CA00098,Oracle,oci-26787,billing_account,ID_01599,4
CA00099,DigitalOcean,do-22176,service_account,ID_01568,4
CA00100,Azure,az-89383,human_user,ID_01108,3
CA00101,AWS,aws-34407,service_account,ID_01361,4
CA00102,DigitalOcean,do-77246,service_account,ID_00340,3
