role_id,provider,privilege_level,description,privilege_score
CR00000,Azure,tenant_admin,Full administrative access within a specific tenant.,10
CR00001,DigitalOcean,read_only,Limited read-only access to cloud resources.,1
CR00002,AWS,security_engineer,Access to security monitoring and policy configuration.,6
CR00003,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,6
CR00004,GCP,read_only,Limited read-only access to cloud resources.,2
CR00005,DigitalOcean,developer,Developer-level access to compute and storage APIs.,3
CR00006,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,10
CR00007,AWS,cloud_super_admin,Global privileged control across provider resources.,10
CR00008,GCP,security_engineer,Access to security monitoring and policy configuration.,6
CR00009,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,10
CR00010,Azure,security_engineer,Access to security monitoring and policy configuration.,5
CR00011,Azure,read_only,Limited read-only access to cloud resources.,1
CR00012,AWS,read_only,Limited read-only access to cloud resources.,2
CR00013,GCP,security_engineer,Access to security monitoring and policy configuration.,7
CR00014,Oracle,tech_user,Basic operational access for assigned services.,3
CR00015,Azure,developer,Developer-level access to compute and storage APIs.,4
CR00016,Azure,security_engineer,Access to security monitoring and policy configuration.,6
CR00017,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,12
CR00018,Azure,system_admin,High-privilege system-level access.,9
CR00019,Oracle,cloud_super_admin,Global privileged control across provider resources.,11
CR00020,GCP,security_engineer,Access to security monitoring and policy configuration.,6
CR00021,GCP,system_admin,High-privilege system-level access.,7
CR00022,Azure,tenant_admin,Full administrative access within a specific tenant.,10
CR00023,GCP,system_admin,High-privilege system-level access.,8
CR00024,AWS,security_engineer,Access to security monitoring and policy configuration.,7
CR00025,GCP,developer,Developer-level access to compute and storage APIs.,5
CR00026,GCP,tech_user,Basic operational access for assigned services.,3
CR00027,DigitalOcean,developer,Developer-level access to compute and storage APIs.,3
CR00028,GCP,security_engineer,Access to security monitoring and policy configuration.,6
CR00029,AWS,cloud_super_admin,Global privileged control across provider resources.,11
CR00030,DigitalOcean,system_admin,High-privilege system-level access.,7
CR00031,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR00032,GCP,tech_user,Basic operational access for assigned services.,2
CR00033,Azure,tech_user,Basic operational access for assigned services.,2
CR00034,Azure,developer,Developer-level access to compute and storage APIs.,3
CR00035,Oracle,system_admin,High-privilege system-level access.,7
CR00036,Oracle,tech_user,Basic operational access for assigned services.,3
CR00037,AWS,tech_user,Basic operational access for assigned services.,2
CR00038,GCP,tenant_admin,Full administrative access within a specific tenant.,8
CR00039,AWS,read_only,Limited read-only access to cloud resources.,1
CR00040,GCP,read_only,Limited read-only access to cloud resources.,1
CR00041,GCP,read_only,Limited read-only access to cloud resources.,2
