eid,src,dst,egde_class,relation,direction,port_proto,zone_crossing,guarded_by,detection_prob,exploitability,lat_move,policy_violation,misconfig_source_rule,misconfig_effect
E000001,N00043,N00122,L0->L1,mgmt,inbound,53/udp,0,fw_strict,0.494,0.56,0.737,0,,
E000002,N00043,N00194,L0->L1,rpc,bidirectional,22/tcp,0,fw_basic,0.662,0.692,0.65,0,,
E000003,N00043,N00167,L0->L1,db_conn,inbound,3389/tcp,0,fw_strict,0.023,0.446,0.611,0,,
E000004,N00043,N00198,L0->L1,db_conn,bidirectional,53/udp,0,microseg,0.515,0.989,0.036,0,,
E000005,N00043,N00161,L0->L1,mgmt,bidirectional,22/tcp,0,microseg,0.087,0.707,0.705,1,,
E000006,N00122,N00201,L1->L2,network,inbound,80/tcp,0,fw_strict,0.019,0.95,0.25,0,,
E000007,N00122,N00032,L1->L2,mgmt,bidirectional,443/tcp,0,microseg,0.337,0.91,0.211,0,,
E000008,N00194,N00201,L1->L2,mgmt,outbound,3389/tcp,0,none,0.474,0.492,0.894,0,,
E000009,N00194,N00032,L1->L2,network,bidirectional,3389/tcp,0,fw_strict,0.006,0.754,0.276,0,,
E000010,N00167,N00201,L1->L2,rpc,outbound,22/tcp,0,microseg,0.105,0.836,0.051,0,,
E000011,N00167,N00032,L1->L2,db_conn,bidirectional,443/tcp,0,fw_strict,0.227,0.429,0.01,0,,
E000012,N00198,N00201,L1->L2,rpc,outbound,80/tcp,0,fw_strict,0.601,0.406,0.457,0,,
E000013,N00198,N00032,L1->L2,db_conn,inbound,445/tcp,0,fw_basic,0.157,0.598,0.234,0,,
E000014,N00161,N00201,L1->L2,api,inbound,80/tcp,0,fw_basic,0.316,0.383,0.827,0,,
E000015,N00161,N00032,L1->L2,api,bidirectional,3389/tcp,0,fw_basic,0.644,0.786,0.767,0,,
E000016,N00201,N00104,L2->L3,rpc,outbound,3389/tcp,0,fw_strict,0.558,0.701,0.466,0,,
E000017,N00201,N00151,L2->L3,mgmt,outbound,3389/tcp,0,microseg,0.483,0.491,0.742,0,,
E000018,N00201,N00077,L2->L3,db_conn,bidirectional,22/tcp,0,fw_strict,0.146,0.44,0.804,0,,
E000019,N00032,N00104,L2->L3,network,bidirectional,445/tcp,0,fw_strict,0.03,0.969,0.687,0,,
E000020,N00032,N00151,L2->L3,db_conn,bidirectional,443/tcp,0,none,0.052,0.734,0.581,0,,
E000021,N00032,N00077,L2->L3,api,bidirectional,80/tcp,0,fw_basic,0.577,0.397,0.578,0,,
E000022,N00104,N00176,L3->L4,db_conn,bidirectional,22/tcp,0,fw_basic,0.067,0.626,0.57,0,,
E000023,N00104,N00070,L3->L4,mgmt,bidirectional,22/tcp,0,none,0.647,0.327,0.162,0,,
E000024,N00104,N00135,L3->L4,mgmt,bidirectional,443/tcp,0,fw_basic,0.179,0.653,0.935,0,,
E000025,N00104,N00081,L3->L4,rpc,outbound,80/tcp,0,microseg,0.236,0.312,0.517,0,,
E000026,N00104,N00184,L3->L4,network,outbound,3389/tcp,0,none,0.404,0.931,0.975,0,,
