edge_id,src,dst,edge_class,cost,detection_prob,exploitability,power_gain,is_ground_truth_path_step
E_QUBO_00001,N00043,N00122,network,0.563,0.298,0.24,0,False
E_QUBO_00002,N00043,N00194,config,0.717,0.43,0.075,1,False
E_QUBO_00003,N00043,N00167,config,0.566,0.229,0.602,4,False
E_QUBO_00004,N00043,N00198,cloud,1.973,0.778,0.056,1,False
E_QUBO_00005,N00043,N00161,privilege,1.195,0.244,0.699,3,False
E_QUBO_00006,N00122,N00201,network,1.397,0.36,0.275,0,False
E_QUBO_00007,N00122,N00032,config,0.812,0.88,0.117,2,False
E_QUBO_00008,N00194,N00201,config,2.714,0.375,0.213,0,False
E_QUBO_00009,N00194,N00032,auth,2.433,0.937,0.777,0,False
E_QUBO_00010,N00167,N00201,cloud,2.089,0.378,0.365,1,False
E_QUBO_00011,N00167,N00032,network,2.023,0.204,0.67,1,False
E_QUBO_00012,N00198,N00201,privilege,2.974,0.626,0.523,7,False
E_QUBO_00013,N00198,N00032,network,1.073,0.079,0.318,2,False
E_QUBO_00014,N00161,N00201,config,2.691,0.333,0.607,3,False
E_QUBO_00015,N00161,N00032,cloud,0.857,0.176,0.683,4,False
E_QUBO_00016,N00201,N00104,config,1.571,0.575,0.358,1,False
E_QUBO_00017,N00201,N00151,network,2.389,0.825,0.18,1,False
E_QUBO_00018,N00201,N00077,cloud,1.991,0.396,0.557,3,False
E_QUBO_00019,N00032,N00104,config,2.652,0.06,0.663,4,False
E_QUBO_00020,N00032,N00151,privilege,0.779,0.441,0.436,6,False
E_QUBO_00021,N00032,N00077,auth,1.769,0.146,0.582,4,False
E_QUBO_00022,N00104,N00176,auth,1.435,0.195,0.86,4,False
E_QUBO_00023,N00104,N00070,config,1.31,0.068,0.84,2,False
E_QUBO_00024,N00104,N00135,auth,2.695,0.902,0.123,3,False
E_QUBO_00025,N00104,N00081,config,2.415,0.166,0.454,4,False
E_QUBO_00026,N00104,N00184,config,2.681,0.431,0.23,4,False
E_QUBO_00027,N00151,N00176,auth,2.282,0.409,0.621,2,False
E_QUBO_00028,N00151,N00070,config,1.629,0.273,0.104,0,False
E_QUBO_00029,N00151,N00135,auth,1.971,0.056,0.652,0,False
E_QUBO_00030,N00151,N00081,network,2.649,0.114,0.252,3,False
E_QUBO_00031,N00151,N00184,auth,2.308,0.844,0.54,1,False
E_QUBO_00032,N00077,N00176,cloud,0.976,0.137,0.416,3,False
E_QUBO_00033,N00077,N00070,network,2.183,0.936,0.134,3,False
E_QUBO_00034,N00077,N00135,network,1.122,0.221,0.431,3,False
E_QUBO_00035,N00077,N00081,cloud,1.125,0.881,0.427,4,False
E_QUBO_00036,N00077,N00184,config,2.59,0.922,0.837,1,False
E_QUBO_00037,N00176,N00028,cloud,1.703,0.828,0.817,1,False
E_QUBO_00038,N00070,N00028,cloud,1.163,0.756,0.437,3,False
E_QUBO_00039,N00135,N00028,config,2.155,0.488,0.211,1,False
E_QUBO_00040,N00081,N00028,config,2.339,0.105,0.317,0,False
E_QUBO_00041,N00184,N00028,config,2.798,0.528,0.098,4,False
E_QUBO_00042,N00043,N00122,auth,0.671,0.111,0.783,3,False
E_QUBO_00043,N00043,N00194,config,1.116,0.585,0.576,3,False
E_QUBO_00044,N00043,N00167,config,1.807,0.891,0.224,2,False
E_QUBO_00045,N00043,N00198,cloud,0.827,0.631,0.439,0,True
E_QUBO_00046,N00043,N00161,config,2.996,0.946,0.112,1,False
E_QUBO_00047,N00122,N00201,auth,2.833,0.843,0.797,2,False
E_QUBO_00048,N00122,N00032,cloud,2.584,0.683,0.57,4,True
E_QUBO_00049,N00194,N00201,config,1.248,0.647,0.848,1,False
E_QUBO_00050,N00194,N00032,network,2.356,0.19,0.289,1,False
E_QUBO_00051,N00167,N00201,auth,2.219,0.818,0.48,2,False
