node_id,type,zone,vlan,criticality,has_edr,is_exposed_to_internet,os_family,role,monitoring_level,policy_violation,is_hard_target,is_misconfigured_asset,is_bridge_asset
N00001,cloud_resource,EXTERNAL,100,3,False,False,CiscoIOS,backup,low,False,False,False,False
N00002,plc,EXTERNAL,101,3,True,False,Embedded,email,low,False,False,False,False
N00003,cloud_resource,EXTERNAL,102,1,True,False,Unknown,monitoring,none,True,False,False,False
N00004,plc,EXTERNAL,103,3,True,False,Embedded,jump_host,low,False,False,False,False
N00005,iot,EXTERNAL,104,2,True,False,Linux,idp,low,False,False,False,False
N00006,proxy,EXTERNAL,105,1,False,False,CiscoIOS,idp,medium,False,False,False,False
N00007,router,EXTERNAL,106,1,False,False,Windows,database,low,True,False,False,False
N00008,host,EXTERNAL,107,2,True,False,Embedded,web,low,False,False,False,False
N00009,host,EXTERNAL,108,3,True,False,Unknown,monitoring,low,False,False,False,False
N00010,router,EXTERNAL,109,2,False,False,ESXi,hmi,low,False,False,False,False
N00011,plc,EXTERNAL,100,3,True,False,Embedded,monitoring,none,False,False,False,False
N00012,app,EXTERNAL,101,3,True,False,ESXi,email,low,False,False,False,False
N00013,plc,EXTERNAL,102,4,False,False,Windows,email,low,False,False,False,False
N00014,proxy,EXTERNAL,103,4,False,False,Windows,idp,low,False,False,False,False
N00015,app,EXTERNAL,104,2,True,False,ESXi,backup,low,False,False,False,False
N00016,proxy,EXTERNAL,105,1,True,False,CiscoIOS,backup,none,False,False,False,False
N00017,iot,EXTERNAL,106,4,False,False,Windows,database,medium,False,False,False,False
N00018,plc,EXTERNAL,107,4,False,False,CiscoIOS,backup,medium,True,False,False,False
N00019,fw,EXTERNAL,108,1,False,False,Unknown,domain_controller,none,False,False,False,False
N00020,proxy,EXTERNAL,109,2,False,False,Windows,hmi,low,False,False,False,False
N00021,fw,EXTERNAL,100,1,True,False,Unknown,database,low,False,False,True,False
N00022,cloud_resource,EXTERNAL,101,1,True,False,Windows,hmi,high,False,False,False,False
N00023,svc_account,EXTERNAL,102,4,True,False,ESXi,web,medium,False,False,False,False
N00024,host,EXTERNAL,103,3,False,False,Embedded,hmi,low,False,False,False,False
N00025,host,EXTERNAL,104,2,True,False,Embedded,idp,medium,False,False,False,False
N00026,router,EXTERNAL,105,2,True,False,CiscoIOS,idp,low,False,False,False,False
N00027,cloud_resource,EXTERNAL,106,4,True,False,ESXi,web,medium,False,False,False,False
N00028,proxy,EXTERNAL,107,5,True,False,Windows,hmi,medium,True,True,False,False
N00029,iot,EXTERNAL,108,4,False,False,Windows,jump_host,low,False,False,False,False
N00030,cloud_resource,EXTERNAL,109,3,False,False,Windows,database,none,False,False,False,False
N00031,svc_account,EXTERNAL,100,4,True,False,Windows,jump_host,low,False,False,False,False
N00032,svc_account,EXTERNAL,101,3,True,False,Linux,app,medium,False,False,False,False
N00033,iot,EXTERNAL,102,1,True,False,ESXi,app,low,False,False,False,False
N00034,cloud_resource,EXTERNAL,103,4,True,False,Linux,jump_host,medium,False,False,False,False
N00035,cloud_resource,EXTERNAL,104,1,True,False,ESXi,backup,low,False,False,True,False
N00036,host,EXTERNAL,105,3,True,False,Windows,jump_host,medium,True,False,False,False
N00037,plc,EXTERNAL,106,3,True,False,CiscoIOS,idp,low,False,False,False,False
N00038,plc,EXTERNAL,107,2,False,False,CiscoIOS,monitoring,low,False,False,False,False
N00039,plc,EXTERNAL,108,2,True,False,ESXi,database,low,False,False,False,False
N00040,fw,EXTERNAL,109,3,True,False,Linux,idp,none,False,False,False,False
N00041,app,EXTERNAL,100,1,True,False,ESXi,app,low,False,False,False,False
N00042,cloud_resource,EXTERNAL,101,2,False,False,Linux,app,medium,False,False,False,False
N00043,host,EXTERNAL,102,1,True,True,ESXi,database,low,False,False,False,False
N00044,cloud_resource,EXTERNAL,103,4,False,False,ESXi,database,none,False,False,False,False
N00045,db,EXTERNAL,104,4,True,False,Windows,domain_controller,none,False,False,False,False
N00046,db,EXTERNAL,105,4,True,False,Windows,idp,low,False,False,True,False
N00047,app,EXTERNAL,106,1,True,False,Windows,domain_controller,low,False,False,False,False
N00048,iot,EXTERNAL,107,3,True,False,CiscoIOS,monitoring,low,True,False,False,False
N00049,app,EXTERNAL,108,2,True,False,Unknown,backup,low,False,False,False,False
N00050,proxy,EXTERNAL,109,4,True,False,Linux,jump_host,low,False,False,False,False
N00051,plc,EXTERNAL,100,2,True,False,ESXi,database,low,False,False,False,False
N00052,iot,EXTERNAL,101,1,True,False,Unknown,domain_controller,none,False,False,False,False
N00053,svc_account,EXTERNAL,102,1,False,False,Linux,domain_controller,low,True,False,False,False
N00054,host,EXTERNAL,103,1,False,False,ESXi,idp,none,False,False,False,False
N00055,proxy,EXTERNAL,104,4,True,False,Windows,email,low,False,False,True,False
N00056,router,EXTERNAL,105,3,True,False,Unknown,database,low,False,False,False,False
N00057,iot,EXTERNAL,106,1,True,False,ESXi,idp,low,False,False,False,False
N00058,router,EXTERNAL,107,3,True,False,ESXi,hmi,none,False,False,False,False
N00059,db,EXTERNAL,108,3,False,False,CiscoIOS,email,none,False,False,False,False
N00060,proxy,EXTERNAL,109,3,False,False,Unknown,monitoring,low,False,False,True,False
N00061,db,EXTERNAL,100,3,True,False,Linux,backup,low,False,False,False,False
N00062,svc_account,EXTERNAL,101,1,False,False,CiscoIOS,domain_controller,medium,False,False,False,False
N00063,router,EXTERNAL,102,2,False,False,ESXi,domain_controller,none,False,False,False,False
N00064,plc,EXTERNAL,103,3,True,False,Unknown,jump_host,none,False,False,False,False
N00065,iot,EXTERNAL,104,1,False,False,Unknown,idp,low,False,False,False,False
N00066,db,EXTERNAL,105,2,True,False,Linux,web,high,False,False,False,False
N00067,svc_account,EXTERNAL,106,1,False,False,Windows,monitoring,low,False,False,False,False
N00068,db,EXTERNAL,107,2,True,False,CiscoIOS,backup,low,False,False,False,False
N00069,plc,EXTERNAL,108,4,True,False,Unknown,app,low,False,False,False,False
N00070,router,EXTERNAL,109,4,False,False,Windows,idp,low,False,False,False,False
N00071,db,EXTERNAL,100,4,True,False,Linux,jump_host,medium,False,False,False,False
N00072,svc_account,EXTERNAL,101,1,True,False,ESXi,domain_controller,low,False,False,False,False
N00073,svc_account,EXTERNAL,102,2,True,False,ESXi,web,low,False,False,False,False
N00074,cloud_resource,EXTERNAL,103,4,True,False,Embedded,idp,low,False,False,False,False
N00075,fw,EXTERNAL,104,3,True,False,Embedded,app,high,False,False,False,False
N00076,svc_account,EXTERNAL,105,2,True,False,Unknown,domain_controller,medium,False,False,False,False
N00077,cloud_resource,EXTERNAL,106,2,True,False,Unknown,jump_host,low,False,False,False,False
N00078,host,EXTERNAL,107,1,False,False,Unknown,email,none,False,False,True,False
N00079,proxy,EXTERNAL,108,3,False,True,Unknown,email,low,False,False,False,False
N00080,db,EXTERNAL,109,3,True,False,Embedded,web,low,False,False,False,False
N00081,svc_account,EXTERNAL,100,2,True,False,CiscoIOS,email,low,False,False,False,False
N00082,fw,EXTERNAL,101,2,True,False,CiscoIOS,web,low,False,False,False,False
N00083,cloud_resource,EXTERNAL,102,3,False,False,Linux,idp,none,False,False,False,False
N00084,svc_account,EXTERNAL,103,4,True,False,Embedded,hmi,low,False,False,False,False
N00085,host,EXTERNAL,104,3,False,False,CiscoIOS,backup,medium,False,False,False,False
N00086,proxy,EXTERNAL,105,2,True,True,Windows,app,low,False,False,False,False
N00087,svc_account,EXTERNAL,106,2,True,False,CiscoIOS,database,none,False,False,False,False
N00088,host,EXTERNAL,107,3,True,False,CiscoIOS,web,low,True,False,False,False
N00089,proxy,EXTERNAL,108,3,True,False,CiscoIOS,web,none,False,False,False,False
N00090,router,EXTERNAL,109,1,True,False,Windows,monitoring,none,False,False,False,False
N00091,proxy,EXTERNAL,100,1,True,False,Unknown,email,high,False,False,False,False
N00092,cloud_resource,EXTERNAL,101,2,False,False,Unknown,jump_host,low,False,False,False,False
N00093,fw,EXTERNAL,102,2,True,True,ESXi,idp,high,False,False,True,False
N00094,router,EXTERNAL,103,3,True,True,ESXi,domain_controller,medium,False,False,False,False
N00095,app,EXTERNAL,104,1,True,False,Unknown,email,low,False,False,False,False
N00096,cloud_resource,EXTERNAL,105,3,True,False,Linux,backup,low,False,False,False,False
N00097,svc_account,EXTERNAL,106,3,False,False,Unknown,monitoring,medium,False,False,False,False
N00098,router,EXTERNAL,107,3,False,False,Embedded,jump_host,low,False,False,False,False
N00099,db,EXTERNAL,108,2,True,True,Unknown,domain_controller,none,False,False,False,False
N00100,db,EXTERNAL,109,5,True,False,Embedded,domain_controller,high,True,True,False,False
N00101,db,EXTERNAL,100,2,True,True,Unknown,database,medium,False,False,False,False
N00102,iot,EXTERNAL,101,1,True,False,Linux,hmi,high,False,False,False,False
N00103,db,EXTERNAL,102,2,True,False,Unknown,database,low,True,False,False,False
N00104,app,EXTERNAL,103,2,True,False,Embedded,idp,low,False,False,False,False
N00105,cloud_resource,EXTERNAL,104,1,True,False,CiscoIOS,idp,none,False,False,False,False
N00106,db,EXTERNAL,105,3,False,False,Windows,backup,low,False,False,False,False
N00107,iot,EXTERNAL,106,3,False,False,Embedded,domain_controller,medium,False,False,False,False
N00108,router,EXTERNAL,107,1,True,False,CiscoIOS,web,medium,False,False,False,False
N00109,host,EXTERNAL,108,4,True,False,ESXi,monitoring,low,False,False,False,True
N00110,svc_account,EXTERNAL,109,5,True,False,Embedded,monitoring,high,False,True,False,False
N00111,iot,EXTERNAL,100,4,True,False,Linux,database,low,False,False,False,False
N00112,iot,EXTERNAL,101,2,False,False,Embedded,hmi,high,False,False,False,False
N00113,svc_account,EXTERNAL,102,1,True,False,ESXi,backup,low,False,False,False,False
N00114,app,EXTERNAL,103,3,True,False,Linux,app,none,False,False,False,False
N00115,proxy,EXTERNAL,104,2,True,False,ESXi,domain_controller,low,False,False,False,False
N00116,host,EXTERNAL,105,5,False,False,Unknown,web,high,False,True,False,False
N00117,cloud_resource,EXTERNAL,106,3,True,False,Linux,database,low,True,False,False,False
N00118,fw,EXTERNAL,107,2,True,False,Embedded,app,low,False,False,False,False
N00119,plc,EXTERNAL,108,4,False,False,Windows,domain_controller,low,False,False,False,False
N00120,db,EXTERNAL,109,1,True,False,Embedded,web,none,False,False,False,False
N00121,iot,EXTERNAL,100,3,False,False,Embedded,jump_host,medium,False,False,False,False
N00122,router,EXTERNAL,101,2,False,False,Windows,app,medium,False,False,False,False
N00123,iot,EXTERNAL,102,3,True,False,Embedded,backup,medium,True,False,False,False
N00124,svc_account,EXTERNAL,103,3,True,False,Windows,jump_host,low,False,False,False,False
N00125,svc_account,EXTERNAL,104,1,True,False,Linux,domain_controller,medium,False,False,False,False
N00126,router,EXTERNAL,105,4,False,False,Unknown,jump_host,none,True,False,False,False
N00127,router,EXTERNAL,106,4,False,False,Embedded,backup,low,False,False,False,False
N00128,host,EXTERNAL,107,2,True,False,Linux,email,low,False,False,False,False
N00129,app,EXTERNAL,108,4,True,False,Windows,app,low,False,False,False,False
N00130,db,EXTERNAL,109,3,False,False,CiscoIOS,app,none,False,False,False,False
N00131,cloud_resource,EXTERNAL,100,3,True,False,ESXi,jump_host,low,False,False,False,False
N00132,iot,EXTERNAL,101,4,True,False,Linux,app,low,False,False,False,False
N00133,iot,EXTERNAL,102,2,False,False,Unknown,database,medium,False,False,False,False
N00134,plc,EXTERNAL,103,4,False,False,Windows,hmi,low,False,False,False,False
N00135,cloud_resource,EXTERNAL,104,4,False,False,ESXi,hmi,low,False,False,False,False
N00136,proxy,EXTERNAL,105,1,False,False,ESXi,app,none,False,False,False,False
N00137,app,EXTERNAL,106,3,False,True,Unknown,idp,low,False,False,False,False
N00138,svc_account,EXTERNAL,107,3,True,False,Windows,app,low,False,False,False,False
N00139,cloud_resource,EXTERNAL,108,2,True,False,Unknown,hmi,low,False,False,False,False
N00140,proxy,EXTERNAL,109,3,True,False,CiscoIOS,hmi,high,True,False,False,False
