RULE_ID,RULE_TYPE,SOURCE_ZONES,DEST_ZONES,ALLOWED_PORTS,REQUIRES,LOGGING,REMARK,misconfig_prob,is_misconfigured,last_changed_by,last_changed_on,change_complexity
RULE_00001,cloud_boundary,PARTNER_VPN,EXTERNAL,restricted,tls,False,auto generated cloud_boundary rule,0.254,False,netadmin,2024-03-30,medium
RULE_00002,deny,PARTNER_VPN,DMZ,3306,none,True,auto generated deny rule,0.202,False,netadmin,2023-09-16,medium
RULE_00003,monitor,CLOUD,PARTNER_VPN,"8080,8443",mfa,False,auto generated monitor rule,0.099,False,secops,2024-03-18,high
RULE_00004,cloud_boundary,USER_LAN,OT,restricted,vpn,True,auto generated cloud_boundary rule,0.255,False,audit_bot,2022-09-25,low
RULE_00005,allow,SERVER_LAN,CLOUD,any,mfa,True,auto generated allow rule,0.079,False,netadmin,2024-11-13,medium
RULE_00006,cloud_boundary,PARTNER_VPN,CLOUD,restricted,tls,False,auto generated cloud_boundary rule,0.229,False,secops,2022-11-21,low
RULE_00007,cloud_boundary,OT,MGMT,"8080,8443",vpn,True,auto generated cloud_boundary rule,0.31,True,auto_gen,2023-03-13,high
RULE_00008,cloud_boundary,USER_LAN,CLOUD,restricted,none,False,auto generated cloud_boundary rule,0.294,True,audit_bot,2024-07-12,medium
RULE_00009,allow,EXTERNAL,CLOUD,22,tls,True,auto generated allow rule,0.077,False,audit_bot,2024-07-20,low
RULE_00010,cloud_boundary,EXTERNAL,SERVER_LAN,53,mfa,False,auto generated cloud_boundary rule,0.115,False,secops,2025-08-28,high
RULE_00011,segmentation,PARTNER_VPN,SERVER_LAN,"80,443",vpn,False,auto generated segmentation rule,0.263,False,audit_bot,2024-06-29,high
RULE_00012,deny,MGMT,EXTERNAL,3306,none,False,auto generated deny rule,0.221,False,secops,2024-09-23,high
RULE_00013,monitor,SERVER_LAN,MGMT,restricted,none,True,auto generated monitor rule,0.287,True,audit_bot,2024-03-02,low
RULE_00014,allow,MGMT,SERVER_LAN,53,tls,False,auto generated allow rule,0.35,True,secops,2024-04-04,medium
RULE_00015,cloud_boundary,SERVER_LAN,SERVER_LAN,22,tls,True,auto generated cloud_boundary rule,0.154,False,auto_gen,2023-05-22,high
RULE_00016,allow,PARTNER_VPN,DMZ,restricted,tls,False,auto generated allow rule,0.211,False,audit_bot,2023-10-16,low
RULE_00017,allow,SERVER_LAN,MGMT,any,none,True,auto generated allow rule,0.267,False,netadmin,2025-09-04,medium
RULE_00018,deny,PARTNER_VPN,PARTNER_VPN,53,mfa,True,auto generated deny rule,0.202,False,audit_bot,2025-09-23,high
RULE_00019,cloud_boundary,USER_LAN,OT,"80,443",vpn,True,auto generated cloud_boundary rule,0.186,False,auto_gen,2023-03-25,medium
RULE_00020,allow,EXTERNAL,MGMT,22,vpn,True,auto generated allow rule,0.259,False,cloud_admin,2023-05-21,high
RULE_00021,segmentation,OT,PARTNER_VPN,"80,443",none,False,auto generated segmentation rule,0.317,True,auto_gen,2025-01-07,low
RULE_00022,allow,OT,MGMT,22,vpn,True,auto generated allow rule,0.031,False,audit_bot,2023-09-14,high
RULE_00023,cloud_boundary,MGMT,CLOUD,3306,vpn,False,auto generated cloud_boundary rule,0.131,False,audit_bot,2023-05-20,medium
RULE_00024,deny,DMZ,DMZ,"80,443",vpn,False,auto generated deny rule,0.109,False,cloud_admin,2025-10-25,low
RULE_00025,deny,CLOUD,DMZ,restricted,none,False,auto generated deny rule,0.209,False,netadmin,2025-02-04,high
RULE_00026,allow,SERVER_LAN,OT,3306,tls,True,auto generated allow rule,0.307,True,netadmin,2025-11-24,high
RULE_00027,allow,DMZ,CLOUD,restricted,tls,False,auto generated allow rule,0.249,False,cloud_admin,2023-04-26,low
RULE_00028,allow,USER_LAN,EXTERNAL,22,mfa,False,auto generated allow rule,0.076,False,audit_bot,2023-01-14,low
RULE_00029,segmentation,MGMT,DMZ,22,vpn,False,auto generated segmentation rule,0.008,False,audit_bot,2022-11-27,medium
