asset,control_type,config,status,misconfig_prob,is_misconfigured,config_source,config_drift_score
N00001,Logging,baseline,disabled,0.222,False,policy_engine,0.92
N00001,Hardening,legacy,partial,0.072,False,policy_engine,0.11
N00002,Firewall,baseline,disabled,0.141,False,policy_engine,0.66
N00002,CloudPolicy,strict,disabled,0.086,False,manual,0.8
N00002,CloudPolicy,legacy,partial,0.093,False,manual,0.55
N00003,Firewall,legacy,partial,0.316,True,auto,0.68
N00004,IAMPolicy,strict,disabled,0.069,False,policy_engine,0.01
N00004,CloudPolicy,legacy,partial,0.277,True,auto,0.78
N00005,IAMPolicy,moderate,partial,0.184,False,manual,0.78
N00005,EDR,legacy,partial,0.258,True,inherited,0.97
N00006,NetworkIsolation,baseline,partial,0.195,False,policy_engine,0.26
N00007,EDR,moderate,disabled,0.287,True,manual,0.44
N00007,Hardening,strict,partial,0.052,False,policy_engine,0.61
N00008,WAF,baseline,partial,0.34,True,auto,0.63
N00009,WAF,strict,enabled,0.123,False,policy_engine,0.72
N00009,IAMPolicy,moderate,disabled,0.137,False,inherited,0.55
N00010,IAMPolicy,baseline,disabled,0.219,False,inherited,0.93
N00010,NetworkIsolation,baseline,enabled,0.011,False,manual,0.64
N00011,CloudPolicy,legacy,disabled,0.079,False,policy_engine,0.89
N00011,WAF,legacy,enabled,0.218,False,policy_engine,0.76
N00012,WAF,strict,disabled,0.243,False,policy_engine,0.09
N00012,Hardening,legacy,partial,0.287,True,inherited,1.0
N00013,WAF,moderate,partial,0.156,False,manual,0.3
N00014,IAMPolicy,baseline,partial,0.115,False,policy_engine,0.58
N00014,Firewall,moderate,partial,0.27,True,auto,0.64
N00014,NetworkIsolation,baseline,enabled,0.052,False,inherited,0.98
N00015,NetworkIsolation,strict,enabled,0.277,True,manual,0.24
N00015,IAMPolicy,strict,partial,0.221,False,inherited,0.46
N00015,WAF,baseline,disabled,0.009,False,inherited,0.35
N00016,Logging,strict,partial,0.005,False,policy_engine,0.63
